key,cipher,ApEn,run_test,cumsum,entropy,random
b'ETHAR546',rc4,0.023631427800449245,0.08921282729087253,0.7375181432076914,6.718177855451404,3
b'ETHAR546',rc4a,0.4471773321868747,0.7555623532583625,0.8187697700847962,6.729631942161642,3
b'ETHAR546',merc4,0.4515284104502212,0.3420123949073493,0.7167661994621304,6.736843257405972,3
b'ETHAR546',ideal_rc4,0.2657158280376657,0.49663767028093414,0.02209675355036729,6.726534478213468,3
b'ETHAR546',vmpc,0.06882783098784861,0.2008161748587505,0.2086914153167725,6.7305888002092855,3
b'ETHAR546',rc4plus,0.013396760342710312,0.23034885759720908,0.0003446059706302012,6.750911141239893,2
b'METHAQTG13',rc4,0.16341482175617628,0.7298092997597754,0.10635045784398979,6.741241963975448,3
b'METHAQTG13',rc4a,0.34309823964175756,0.4269352344919728,0.1994300325511856,6.7397678705803115,3
b'METHAQTG13',merc4,0.08098968900074255,0.9823877195197142,0.7989154974722492,6.739063235815996,3
b'METHAQTG13',ideal_rc4,0.5909611962907404,0.28794952340491115,0.7375181432076914,6.748020127165981,3
b'METHAQTG13',vmpc,0.015403639528798307,0.7485358710420941,0.5555103201103582,6.735076390670019,3
b'METHAQTG13',rc4plus,0.7407263810094004,0.4651289181412438,0.9549246148358199,6.742003481096249,3
b'THEKRAABASS3345',rc4,0.87268642638003,0.806277015959525,0.9892693634455354,6.744320078844576,3
b'THEKRAABASS3345',rc4a,0.6450282176106872,0.7985545815355521,0.4999388806759719,6.7254963889426485,3
b'THEKRAABASS3345',merc4,0.970035478267892,0.764273019169151,0.3482203797177359,6.747754601158663,3
b'THEKRAABASS3345',ideal_rc4,0.094388728272228,0.6458573212289342,0.8659875043246652,6.729428823006416,3
b'THEKRAABASS3345',vmpc,0.6244371225501365,0.4802488232403548,0.847592678290334,6.741431299507628,3
b'THEKRAABASS3345',rc4plus,0.9179961395673472,0.6897939386161381,0.3412825869348637,6.740179415863899,3
b'AD56790877HNKUNNHG6',rc4,0.8440808190313845,0.3530253391451948,0.9549246148358199,6.7423404728932415,3
b'AD56790877HNKUNNHG6',rc4a,0.11167588963981634,0.7270505763628015,0.28943211745818354,6.7463239382513,3
b'AD56790877HNKUNNHG6',merc4,0.03288240789575014,0.7054012360779565,0.2774592834883104,6.728163735976951,3
b'AD56790877HNKUNNHG6',ideal_rc4,0.2101946840429335,0.87584274811167,0.7478684207132169,6.737832758965188,3
b'AD56790877HNKUNNHG6',vmpc,0.12372075058062715,0.024134170577177868,0.9002200968653657,6.753479699326405,3
b'AD56790877HNKUNNHG6',rc4plus,0.2248935966561696,0.9129859050681725,0.3277150149721591,6.7300202469783486,3
b'FVHHGFHG64877HYNG9TG',rc4,0.2931409335566252,0.8770908905559824,0.6547605076080322,6.735966684508892,3
b'FVHHGFHG64877HYNG9TG',rc4a,0.6155520218450274,0.3976530595164517,0.1994300325511856,6.732845096185529,3
b'FVHHGFHG64877HYNG9TG',merc4,0.09280370389516146,0.26910579692341474,0.04438598526438576,6.743695145049726,3
b'FVHHGFHG64877HYNG9TG',ideal_rc4,0.4944581205206081,0.9166794932054477,0.7684638613631585,6.736811217173254,3
b'FVHHGFHG64877HYNG9TG',vmpc,0.3829300199133442,0.299030314224196,0.9081493442482427,6.739156967337765,3
b'FVHHGFHG64877HYNG9TG',rc4plus,0.38044177623065,0.23085384497954872,0.5555103201103582,6.739743439479739,3
